거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd,지역,지역코드
2021-10-23,신흥동,6951,산성역포레스티아,84.92,20,144500,2020,,,,,,,41131-1652,6951,0,,,,1,N,,수정로,319,0,3178018,1,41131,0.0,41131,10100,성남시 수정구,41131
2021-10-22,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,1,65000,2007,,,,,,,41590-973,80,0,,,,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-10-22,산척동,745,레이크힐 반도유보라 아이비파크 10.2,96.7859,15,87800,2018,,,,,,,41590-1814,745,0,,,,1,N,,동탄순환대로10길,88,0,4852370,1,41590,,41597,11000,화성시,41597
2021-10-21,운중동,922,산운마을11단지(판교포레라움),51.16,4,107300,2009,,,,,,,41135-466,922,0,,,,1,N,,판교원로,68,0,3180052,2,41135,0.0,41135,11500,성남시 분당구,41135
2021-10-19,청계동,512,동탄역 시범우남퍼스트빌아파트,84.94,18,135000,2015,,,,,,,41590-1342,512,0,,,,1,N,,동탄대로시범길,276,0,4852353,0,41590,0.0,41597,10500,화성시,41597
2021-10-18,반송동,79,시범다은마을우남퍼스트빌,67.0661,18,67800,2007,,,,,,,41590-966,79,0,,,,1,N,,동탄중앙로,171,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-10-18,대치동,1027,래미안대치팰리스,94.5,28,390000,2015,,,,,,,11680-4394,1027,0,,,,1,N,,삼성로51길,37,0,4166413,0,11680,,11680,10600,서울 강남구,11680
2021-10-18,잠실동,19,잠실엘스,84.8,14,270000,2008,,,,,,,11710-6346,19,0,,,,1,N,,올림픽로,99,0,3123023,1,11710,0.0,11710,10100,서울 송파구,11710
2021-10-16,잠실동,44,레이크팰리스,84.82,10,235000,2006,,,,,,,11710-5957,44,0,,,,1,N,,잠실로,88,0,3123015,1,11710,0.0,11710,10100,서울 송파구,11710
2021-10-16,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,11,68500,2007,,,,,,,41590-973,80,0,,,,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-10-16,청계동,536,시범반도유보라아이비파크4.0,84.9705,10,120000,2018,,,,,,,41590-1673,536,0,,,,1,N,,동탄대로시범길,134,0,4852353,0,41590,0.0,41597,10500,화성시,41597
2021-10-16,도곡동,527,도곡렉슬,59.9818,22,246000,2006,,,,,,,11680-3623,527,0,,,,1,N,,선릉로,221,0,3122006,8,11680,0.0,11680,11800,서울 강남구,11680
2021-10-15,반송동,79,시범다은마을우남퍼스트빌,67.0661,2,61300,2007,,,,,,,41590-966,79,0,,,,1,N,,동탄중앙로,171,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-10-14,청계동,536,시범반도유보라아이비파크4.0,96.7283,24,130500,2018,,,,,,,41590-1673,536,0,,,,1,N,,동탄대로시범길,134,0,4852353,0,41590,0.0,41597,10500,화성시,41597
